time_s,voltage_V,adc_value
0.00000000,-78.148305,0
0.00005000,-15.580530,0
0.00010000,49.317776,6
0.00015000,-23.408236,0
0.00020000,-5.418610,0
0.00025000,-35.168030,0
0.00030000,-82.546981,0
0.00035000,-45.808546,0
0.00040000,-128.606319,0
0.00045000,-64.276063,0
0.00050000,-82.017635,0
0.00055000,-83.122991,0
0.00060000,52.073082,6
0.00065000,-75.045775,0
0.00070000,11.418315,1
0.00075000,3.819269,0
0.00080000,10.244032,1
0.00085000,71.819673,9
0.00090000,-82.009588,0
0.00095000,-42.912142,0
0.00100000,80.543864,10
0.00105000,20.482383,3
0.00110000,14.726251,2
0.00115000,-28.363646,0
0.00120000,68.720247,9
0.00125000,144.839136,18
0.00130000,-141.902576,0
0.00135000,125.635317,16
0.00140000,-60.573953,0
0.00145000,-38.093277,0
0.00150000,54.222465,7
0.00155000,-2.338415,0
0.00160000,-18.204567,0
0.00165000,-10.496764,0
0.00170000,127.703717,16
0.00175000,72.526229,9
0.00180000,-63.407514,0
0.00185000,0.090190,0
0.00190000,127.229042,16
0.00195000,-2.462804,0
0.00200000,-36.353349,0
0.00205000,92.249158,11
0.00210000,-66.554903,0
0.00215000,-52.917307,0
0.00220000,31.170293,4
0.00225000,-139.637497,0
0.00230000,-9.501536,0
0.00235000,58.054148,7
0.00240000,-117.917095,0
0.00245000,-66.611418,0
0.00250000,-31.734947,0
0.00255000,63.569813,8
0.00260000,-48.368859,0
0.00265000,54.154297,7
0.00270000,-172.314338,0
0.00275000,-3.284132,0
0.00280000,-201.180227,0
0.00285000,-77.878377,0
0.00290000,78.600357,10
0.00295000,72.933054,9
0.00300000,-111.836857,0
0.00305000,-65.350307,0
0.00310000,19.538799,2
0.00315000,-145.024411,0
0.00320000,-1.006405,0
0.00325000,8.834543,1
0.00330000,19.259546,2
0.00335000,-98.358193,0
0.00340000,-11.277701,0
0.00345000,53.399702,7
0.00350000,158.777742,20
0.00355000,92.000046,11
