time_s,voltage_V,adc_value
0.00000000,5.924517,1
0.00005000,-240.743031,0
0.00010000,75.385562,9
0.00015000,72.880871,9
0.00020000,-39.234419,0
0.00025000,-2.448785,0
0.00030000,12.899639,2
0.00035000,-21.136070,0
0.00040000,29.205061,4
0.00045000,-93.241864,0
0.00050000,-110.651764,0
0.00055000,17.732228,2
0.00060000,-57.802041,0
0.00065000,-40.148822,0
0.00070000,9.885954,1
0.00075000,78.846260,10
0.00080000,147.697651,18
0.00085000,244.266645,30
0.00090000,26.777281,3
0.00095000,74.527486,9
0.00100000,-104.330509,0
0.00105000,77.857728,10
0.00110000,55.186324,7
0.00115000,251.841671,31
0.00120000,-5.177932,0
0.00125000,-18.321536,0
0.00130000,-28.792839,0
0.00135000,-151.535961,0
0.00140000,-65.189191,0
0.00145000,-93.450855,0
0.00150000,-121.004573,0
0.00155000,-82.734287,0
0.00160000,-5.270056,0
0.00165000,32.843180,4
0.00170000,16.714159,2
0.00175000,-123.591375,0
0.00180000,114.328547,14
0.00185000,-85.580847,0
0.00190000,-104.313874,0
0.00195000,163.788966,20
0.00200000,4.559432,1
0.00205000,-113.861292,0
0.00210000,-107.472718,0
0.00215000,225.199956,28
0.00220000,-10.075288,0
0.00225000,-26.220501,0
0.00230000,147.913903,18
0.00235000,217.770921,27
0.00240000,116.776505,14
0.00245000,104.208997,13
0.00250000,96.996721,12
0.00255000,223.432024,28
0.00260000,-21.121610,0
0.00265000,-13.654211,0
0.00270000,-93.081688,0
0.00275000,172.238970,21
0.00280000,-209.777117,0
0.00285000,-47.783316,0
0.00290000,-83.669264,0
0.00295000,128.965827,16
0.00300000,-70.448542,0
0.00305000,1.641215,0
0.00310000,-157.367455,0
0.00315000,150.818648,19
0.00320000,-34.684236,0
0.00325000,101.448054,13
0.00330000,57.435189,7
0.00335000,-125.180055,0
0.00340000,24.115437,3
0.00345000,51.329548,6
0.00350000,-42.117676,0
0.00355000,-124.870948,0
0.00360000,52.851994,7
0.00365000,-38.818517,0
0.00370000,-11.262464,0
0.00375000,-84.219217,0
0.00380000,73.018959,9
0.00385000,-2.434134,0
0.00390000,88.231451,11
0.00395000,-8.743111,0
0.00400000,-14.692633,0
0.00405000,138.711055,17
0.00410000,65.230639,8
0.00415000,-71.530692,0
0.00420000,1.981570,0
0.00425000,178.425113,22
0.00430000,226.788735,28
0.00435000,-251.746888,0
0.00440000,-104.617012,0
0.00445000,-130.770109,0
0.00450000,-26.485374,0
0.00455000,75.008258,9
0.00460000,-44.843780,0
0.00465000,94.183163,12
0.00470000,-32.585929,0
0.00475000,-168.800711,0
0.00480000,-12.164342,0
0.00485000,53.485494,7
0.00490000,160.051186,20
0.00495000,-34.827718,0
0.00500000,-110.015541,0
0.00505000,-143.935495,0
0.00510000,-135.807505,0
0.00515000,50.573504,6
0.00520000,86.084794,11
0.00525000,96.912774,12
0.00530000,-31.040477,0
0.00535000,-42.722904,0
0.00540000,169.618021,21
0.00545000,-54.618968,0
0.00550000,-32.688413,0
0.00555000,-37.585577,0
0.00560000,-62.534346,0
0.00565000,11.637817,1
0.00570000,107.026145,13
0.00575000,97.350348,12
0.00580000,7.616856,1
0.00585000,80.116750,10
0.00590000,-269.967229,0
0.00595000,-32.169057,0
0.00600000,-13.003244,0
0.00605000,194.524628,24
0.00610000,129.118099,16
0.00615000,37.125903,5
0.00620000,48.462245,6
0.00625000,242.812239,30
0.00630000,-81.523843,0
0.00635000,139.938233,17
0.00640000,-103.687104,0
0.00645000,-43.527587,0
0.00650000,81.589718,10
0.00655000,-19.487069,0
0.00660000,-44.911559,0
0.00665000,-94.136869,0
0.00670000,-20.445419,0
0.00675000,2.819171,0
0.00680000,-16.759920,0
0.00685000,91.666297,11
0.00690000,111.273083,14
