time_s,voltage_V,adc_value
0.00000000,17.118929,2
0.00005000,144.229174,18
0.00010000,-14.622275,0
0.00015000,73.601906,9
0.00020000,-108.026824,0
0.00025000,-82.113249,0
0.00030000,65.908709,8
0.00035000,-0.675157,0
0.00040000,-89.357499,0
0.00045000,2.754398,0
0.00050000,-60.263947,0
0.00055000,47.789071,6
0.00060000,93.985679,12
0.00065000,88.751910,11
0.00070000,-68.230476,0
0.00075000,-78.206110,0
0.00080000,-9.471662,0
0.00085000,16.317359,2
0.00090000,29.115869,4
0.00095000,17.040399,2
0.00100000,23.408946,3
0.00105000,19.147511,2
0.00110000,18.139106,2
0.00115000,87.005871,11
0.00120000,36.226350,4
0.00125000,-3.726276,0
0.00130000,158.458349,20
0.00135000,123.707158,15
0.00140000,164.995337,20
0.00145000,-62.168765,0
0.00150000,-12.852216,0
0.00155000,39.428907,5
0.00160000,-3.600881,0
0.00165000,81.084357,10
0.00170000,-121.480436,0
0.00175000,-26.514831,0
0.00180000,111.798687,14
0.00185000,-25.201215,0
0.00190000,10.035095,1
0.00195000,-7.979372,0
0.00200000,80.960587,10
0.00205000,-33.036815,0
0.00210000,49.542622,6
0.00215000,-75.750125,0
0.00220000,-108.592342,0
0.00225000,-81.247841,0
0.00230000,83.715906,10
0.00235000,38.885301,5
0.00240000,66.999935,8
0.00245000,-115.207574,0
0.00250000,-4.883877,0
0.00255000,-31.898564,0
0.00260000,35.826416,4
0.00265000,10.051802,1
0.00270000,-117.885764,0
0.00275000,-95.297714,0
0.00280000,15.182788,2
0.00285000,-83.832835,0
0.00290000,-16.653056,0
0.00295000,17.676979,2
0.00300000,-43.735545,0
0.00305000,169.677760,21
0.00310000,71.485758,9
0.00315000,-30.170559,0
0.00320000,-31.790563,0
0.00325000,-235.449224,0
0.00330000,72.425987,9
0.00335000,-6.567250,0
0.00340000,62.961084,8
0.00345000,-47.032215,0
0.00350000,58.078544,7
0.00355000,-27.050748,0
0.00360000,-102.058303,0
0.00365000,-14.639317,0
0.00370000,17.048976,2
0.00375000,-65.684971,0
0.00380000,61.554564,8
0.00385000,22.914327,3
0.00390000,-6.753965,0
0.00395000,-215.610229,0
0.00400000,-2.477780,0
0.00405000,-1.407750,0
0.00410000,21.887013,3
0.00415000,73.700011,9
0.00420000,-63.038772,0
0.00425000,-78.497526,0
0.00430000,45.665895,6
0.00435000,17.795846,2
0.00440000,31.590947,4
0.00445000,10.305659,1
0.00450000,-70.298403,0
0.00455000,116.662095,14
0.00460000,51.391943,6
0.00465000,-58.966201,0
0.00470000,-38.057231,0
0.00475000,157.734994,20
0.00480000,-89.859017,0
0.00485000,2.740781,0
0.00490000,9.934335,1
0.00495000,-44.639577,0
0.00500000,17.911580,2
0.00505000,-206.422485,0
0.00510000,-26.433129,0
0.00515000,50.516788,6
0.00520000,31.162962,4
0.00525000,113.375690,14
0.00530000,-125.958797,0
0.00535000,-23.978835,0
0.00540000,34.081908,4
0.00545000,-35.878494,0
0.00550000,10.113151,1
0.00555000,-135.816874,0
0.00560000,214.269409,27
0.00565000,-15.470841,0
0.00570000,-29.304391,0
0.00575000,189.181807,23
0.00580000,119.072863,15
0.00585000,-46.061754,0
0.00590000,191.151969,24
0.00595000,25.575677,3
0.00600000,-98.451274,0
0.00605000,-128.330980,0
0.00610000,44.118149,5
0.00615000,81.261351,10
0.00620000,72.094926,9
0.00625000,17.724484,2
0.00630000,43.661746,5
0.00635000,-27.193681,0
0.00640000,-2.199680,0
0.00645000,13.759007,2
0.00650000,-83.040152,0
0.00655000,-172.387377,0
0.00660000,-25.833301,0
0.00665000,-8.089794,0
0.00670000,-293.664765,0
0.00675000,-136.912708,0
0.00680000,24.768980,3
0.00685000,9.064304,1
0.00690000,-162.637486,0
0.00695000,141.656648,18
0.00700000,16.811560,2
0.00705000,44.861736,6
0.00710000,-189.185654,0
0.00715000,-74.182808,0
0.00720000,68.653863,9
0.00725000,-116.680344,0
0.00730000,110.384760,14
0.00735000,92.106563,11
0.00740000,102.524412,13
0.00745000,-24.380856,0
0.00750000,80.123236,10
0.00755000,-187.340446,0
0.00760000,39.616281,5
0.00765000,-49.167933,0
0.00770000,-48.718532,0
0.00775000,-6.168311,0
0.00780000,108.374804,13
0.00785000,-56.210090,0
0.00790000,-43.968707,0
0.00795000,35.302879,4
0.00800000,75.562111,9
0.00805000,50.672916,6
0.00810000,-14.827806,0
0.00815000,89.679208,11
0.00820000,126.721852,16
0.00825000,-55.147803,0
0.00830000,152.134365,19
0.00835000,-104.576420,0
0.00840000,-74.783450,0
0.00845000,36.548169,5
0.00850000,-223.765203,0
0.00855000,-173.373089,0
0.00860000,154.266806,19
0.00865000,98.923649,12
0.00870000,-24.567869,0
0.00875000,4.355375,1
0.00880000,-5.999119,0
0.00885000,-39.363538,0
0.00890000,12.504689,2
0.00895000,38.293886,5
0.00900000,126.183836,16
0.00905000,-69.145141,0
0.00910000,195.919287,24
0.00915000,16.967237,2
0.00920000,107.056014,13
0.00925000,-2.644164,0
0.00930000,-73.402715,0
