epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.29264,1.38024,2.60707,1.63776,0.00376,0.98148,0.22358,0.08635,1.41649,2.67843,1.56438,0.00022,0.00022,0.00022
2,6.46652,1.21927,2.35573,1.52564,0.00362,0.94444,0.46269,0.22355,1.28911,2.66666,1.45619,0.000450892,0.000450892,0.000450892
3,8.64051,1.36112,2.05819,1.58666,0.55827,0.22222,0.40551,0.18592,1.40903,2.59487,1.55186,0.00067228,0.00067228,0.00067228
4,10.9242,1.25244,1.84181,1.48524,0.50052,0.16703,0.39415,0.18413,1.43485,2.44281,1.6114,0.000884164,0.000884164,0.000884164
5,13.1072,1.18832,1.67541,1.46357,0.48881,0.35185,0.37678,0.20543,1.412,1.98748,1.63581,0.00108654,0.00108654,0.00108654
6,15.2818,1.15923,1.74676,1.49271,0.41762,0.31481,0.23384,0.11662,1.74373,2.30617,1.90273,0.00127942,0.00127942,0.00127942
7,17.3066,1.2455,1.80668,1.53044,0.41762,0.31481,0.23384,0.11662,1.74373,2.30617,1.90273,0.00146279,0.00146279,0.00146279
8,19.415,1.23584,1.7386,1.52184,0.43793,0.24074,0.26999,0.08859,2.04202,3.46411,2.55178,0.00163666,0.00163666,0.00163666
9,21.4566,1.22158,1.68694,1.48462,0.2737,0.38889,0.27906,0.09148,1.92077,5.2007,2.42034,0.0016832,0.0016832,0.0016832
10,23.4713,1.19595,1.70048,1.50213,0.79219,0.62963,0.70753,0.40144,1.27072,4.51209,1.75718,0.0016436,0.0016436,0.0016436
11,25.5616,1.20323,1.58128,1.56294,0.79219,0.62963,0.70753,0.40144,1.27072,4.51209,1.75718,0.001604,0.001604,0.001604
12,27.7232,1.12894,1.55212,1.43044,0.59025,0.66667,0.59985,0.30158,1.5195,3.9012,2.09289,0.0015644,0.0015644,0.0015644
13,29.734,1.08086,1.50784,1.39754,0.42419,0.61111,0.4477,0.17562,1.62308,5.33028,1.8744,0.0015248,0.0015248,0.0015248
14,31.8984,1.13907,1.50799,1.43963,0.33392,0.70557,0.48872,0.17758,1.50858,7.36832,1.72792,0.0014852,0.0014852,0.0014852
15,33.9771,1.1044,1.49968,1.43617,0.33392,0.70557,0.48872,0.17758,1.50858,7.36832,1.72792,0.0014456,0.0014456,0.0014456
16,36.3445,1.22205,1.5097,1.46868,0.61166,0.70009,0.7085,0.33174,1.27117,3.59065,1.58713,0.001406,0.001406,0.001406
17,38.4194,1.15914,1.47438,1.47236,0.6965,0.77778,0.74871,0.48636,1.10939,2.37232,1.45647,0.0013664,0.0013664,0.0013664
18,40.6168,1.07667,1.36277,1.40289,0.81276,0.7037,0.80547,0.53392,0.96766,2.38132,1.2629,0.0013268,0.0013268,0.0013268
19,42.6904,1.20331,1.42201,1.49381,0.81276,0.7037,0.80547,0.53392,0.96766,2.38132,1.2629,0.0012872,0.0012872,0.0012872
20,44.8116,1.08165,1.37473,1.3731,0.86601,0.68519,0.82373,0.52045,1.09583,2.01661,1.34693,0.0012476,0.0012476,0.0012476
21,46.9953,1.09886,1.3688,1.39835,0.88395,0.81481,0.87528,0.56414,1.04083,1.59967,1.30857,0.001208,0.001208,0.001208
22,49.2505,1.18502,1.41202,1.46171,0.79012,0.87037,0.86214,0.59957,0.972,1.46288,1.24217,0.0011684,0.0011684,0.0011684
23,51.3355,1.03528,1.37381,1.39522,0.79012,0.87037,0.86214,0.59957,0.972,1.46288,1.24217,0.0011288,0.0011288,0.0011288
24,53.4151,1.08853,1.42398,1.4078,0.8957,0.83333,0.88273,0.6082,0.99515,1.19178,1.22903,0.0010892,0.0010892,0.0010892
25,55.5417,1.07561,1.3692,1.43688,0.93037,0.81481,0.88123,0.63617,0.9802,1.06747,1.19629,0.0010496,0.0010496,0.0010496
26,57.6551,1.03118,1.30551,1.33109,0.92462,0.72222,0.85831,0.60496,1.0029,1.14849,1.22914,0.00101,0.00101,0.00101
27,59.6582,1.06278,1.31721,1.35738,0.92462,0.72222,0.85831,0.60496,1.0029,1.14849,1.22914,0.0009704,0.0009704,0.0009704
28,62.0043,1.0248,1.32394,1.33844,0.84925,0.72222,0.85913,0.5384,1.22384,1.34443,1.36004,0.0009308,0.0009308,0.0009308
29,64.0177,1.04949,1.24761,1.32506,0.82928,0.80965,0.87587,0.55788,1.13159,1.30683,1.29814,0.0008912,0.0008912,0.0008912
30,66.0979,0.95914,1.2778,1.33982,0.9725,0.85185,0.91751,0.67942,0.88069,1.05004,1.10799,0.0008516,0.0008516,0.0008516
31,68.2555,0.84784,1.1051,1.20855,0.9725,0.85185,0.91751,0.67942,0.88069,1.05004,1.10799,0.000812,0.000812,0.000812
32,70.4098,0.89153,1.19885,1.25488,0.99652,0.87037,0.91829,0.70172,0.91719,0.99436,1.10537,0.0007724,0.0007724,0.0007724
33,72.5182,0.98257,1.2873,1.30131,0.958,0.87037,0.89978,0.65692,0.97531,1.08026,1.16265,0.0007328,0.0007328,0.0007328
